"speed" "dist"
6.4 3.29111055688675
6.4 3.30096239267279
11.2 7.61155751373175
11.2 6.22714284324338
12.8 7.25836074627277
14.4 9.19083208995317
16 6.05329811455264
16 7.40416328701563
16 5.74176063541068
17.6 6.99528488386508
17.6 11.2139077462496
19.2 9.67155661321669
19.2 9.56914253660144
19.2 9.1741509821847
19.2 8.63838912354322
20.8 8.57218230558765
20.8 6.9963643467583
20.8 8.10093135255394
20.8 10.2522817947484
22.4 9.1703835752249
22.4 11.5765223444575
22.4 9.2657369836832
22.4 8.94731857913167
24 9.68094448444184
24 14.0294722730729
24 11.8735126161188
25.6 14.0254358946913
25.6 12.4575381155751
27.2 12.4588623242897
27.2 15.3338450726278
27.2 13.4855390893204
28.8 12.9755737011000
28.8 15.4710094466191
28.8 17.3297178550920
28.8 15.3556220692916
30.4 16.8930634630809
30.4 13.5018515480192
30.4 16.7565322028161
32 17.0037639014160
32 18.5795206187388
32 16.1447698777406
32 20.7586956999559
32 20.0975487137747
35.2 20.4075376159053
36.8 25.8244187724776
38.4 25.9652672815488
38.4 27.5685475298543
38.4 23.7461092332236
38.4 26.851022895548
40 26.2161479847203
